"tue","02/01/1996", "3.685,360", "3.643,560", "n.d.", "3.685,610", "3.640,040", "30.845.504", 
"wen","03/01/1996", "3.717,720", "3.714,880", "0,88%", "3.744,880", "3.713,150", "16.577.842", 
"thu","04/01/1996", "3.718,220", "3.710,250", "0,01%", "3.725,800", "3.700,250", "17.406.236", 
"fri","05/01/1996", "3.693,530", "3.694,490", "-0,66%", "3.705,450", "3.671,420", "16.209.066", 
"mon","08/01/1996", "3.696,570", "3.696,320", "0,08%", "3.698,910", "3.679,750", "23.818.776", 
"tue","09/01/1996", "3.689,740", "3.715,740", "-0,18%", "3.718,860", "3.678,100", "18.300.088", 
"wen","10/01/1996", "3.655,730", "3.672,810", "-0,92%", "3.673,350", "3.643,410", "11.431.172", 
"thu","11/01/1996", "3.651,310", "3.633,360", "-0,12%", "3.655,980", "3.629,040", "14.043.841", 
"fri","12/01/1996", "3.679,340", "3.680,720", "0,77%", "3.691,880", "3.671,530", "13.541.413", 
"mon","15/01/1996", "3.680,100", "3.693,760", "0,02%", "3.695,420", "3.677,250", "34.630.076", 
"tue","16/01/1996", "3.703,610", "3.685,060", "0,64%", "3.705,350", "3.679,460", "13.189.304", 
"wen","17/01/1996", "3.718,280", "3.712,720", "0,40%", "3.721,100", "3.696,670", "19.504.100", 
"thu","18/01/1996", "3.735,360", "3.723,930", "0,46%", "3.742,480", "3.713,610", "14.941.214", 
"fri","19/01/1996", "3.742,090", "3.731,230", "0,18%", "3.747,820", "3.728,980", "13.294.096", 
"mon","22/01/1996", "3.733,470", "3.726,510", "-0,23%", "3.745,080", "3.721,990", "12.370.823", 
"tue","23/01/1996", "3.710,770", "3.707,790", "-0,61%", "3.718,750", "3.706,260", "10.978.781", 
"wen","24/01/1996", "3.735,830", "3.719,360", "0,68%", "3.736,220", "3.707,730", "14.805.455", 
"thu","25/01/1996", "3.753,020", "3.745,110", "0,46%", "3.768,080", "3.742,340", "16.359.971", 
"fri","26/01/1996", "3.720,670", "3.737,090", "-0,86%", "3.740,640", "3.704,480", "15.617.470", 
"mon","29/01/1996", "3.678,600", "3.689,940", "-1,13%", "3.696,840", "3.667,690", "15.751.827", 
"tue","30/01/1996", "3.707,090", "3.680,600", "0,77%", "3.708,690", "3.652,940", "18.491.740", 
"wen","31/01/1996", "3.734,490", "3.731,880", "0,74%", "3.735,360", "3.708,160", "18.329.712", 
"thu","01/02/1996", "3.750,910", "3.737,570", "0,44%", "3.751,500", "3.727,270", "15.301.724", 
"fri","02/02/1996", "3.727,370", "3.736,570", "-0,63%", "3.741,100", "3.719,600", "10.352.217", 
"mon","05/02/1996", "3.680,770", "3.687,960", "-1,25%", "3.689,790", "3.666,850", "12.071.186", 
